KEY,ENTITY,D0,D1,D2,D3,D4,D5,D6,D7,REFERENCES
1,CARTESIAN_POINT,0.0,26.500000000000004,-27.750000000000004,55.0,0.0,0.0,0.0,0.0,[]
2,PRODUCT,0.0,0.0,0.0,1148.0,0.0,0.0,0.0,0.0,[1148]
3,PERSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
4,CIRCLE,0.0,1399.0,17.500000000000004,0.0,0.0,0.0,0.0,0.0,[1399]
5,EDGE_LOOP,0.0,1820.0,1815.0,0.0,0.0,0.0,0.0,0.0,"[1820, 1815]"
6,LINE,0.0,1235.0,259.0,0.0,0.0,0.0,0.0,0.0,"[1235, 259]"
7,CIRCLE,0.0,1403.0,2.749999999999992,0.0,0.0,0.0,0.0,0.0,[1403]
8,LINE,0.0,1221.0,10.0,0.0,0.0,0.0,0.0,0.0,"[1221, 10]"
9,LINE,0.0,349.0,13.0,0.0,0.0,0.0,0.0,0.0,"[349, 13]"
10,VECTOR,0.0,1227.0,1000.0,0.0,0.0,0.0,0.0,0.0,[1227]
11,VECTOR,0.0,801.0,1000.0,0.0,0.0,0.0,0.0,0.0,[801]
12,VECTOR,0.0,350.0,1000.0,0.0,0.0,0.0,0.0,0.0,[350]
13,VECTOR,0.0,352.0,1000.0,0.0,0.0,0.0,0.0,0.0,[352]
14,LINE,0.0,268.0,78.0,0.0,0.0,0.0,0.0,0.0,"[268, 78]"
15,LINE,0.0,798.0,16.0,0.0,0.0,0.0,0.0,0.0,"[798, 16]"
16,VECTOR,0.0,799.0,1000.0,0.0,0.0,0.0,0.0,0.0,[799]
17,LINE,0.0,1234.0,253.0,0.0,0.0,0.0,0.0,0.0,"[1234, 253]"
18,CONICAL_SURFACE,0.0,1558.0,2.0999999999999974,1.029744258676654,0.0,0.0,0.0,0.0,[1558]
19,EDGE_LOOP,0.0,1915.0,1883.0,1913.0,2009.0,0.0,0.0,0.0,"[1915, 1883, 1913, 2009]"
20,CIRCLE,0.0,1408.0,2.0999999999999974,0.0,0.0,0.0,0.0,0.0,[1408]
21,EDGE_LOOP,0.0,1790.0,1793.0,1788.0,1791.0,0.0,0.0,0.0,"[1790, 1793, 1788, 1791]"
22,VECTOR,0.0,1206.0,1000.0,0.0,0.0,0.0,0.0,0.0,[1206]
